timestamp_ms,label,ax,ay,az,gx,gy,gz
1756360752472,SITTING,-0.92700005,3.1549501,9.642,0.0122375,-0.0265375,-0.0286
1756360752483,SITTING,-0.93405,3.177,9.534,0.0122375,-0.0265375,-0.0286
1756360752504,SITTING,-0.83895004,3.1600502,9.42405,-0.0666875,-0.3216125,0.0246125
1756360752518,SITTING,-0.73605,3.11205,9.42405,-0.0719125,-0.25025,0.0501875
1756360752538,SITTING,-0.43395,2.94705,9.26595,-0.03355,-0.1095875,0.0746625
1756360752559,SITTING,-0.47700003,3.0499501,9.049951,0.004675,-0.0691625,0.0374
1756360752579,SITTING,-0.58500004,2.913,9.43305,-0.0389125,-0.140525,0.0044
1756360752598,SITTING,-0.642,3.1020002,9.354,-0.0911625,-0.375925,-0.0243375
1756360752618,SITTING,-0.89400005,3.2629502,9.354,-0.0559625,-0.1788875,0.0086624995
1756360752639,SITTING,-0.93195003,3.4399502,9.2029505,-0.0187,-0.0297,0.0842875
1756360752658,SITTING,-0.90795004,3.4639502,9.15495,-0.0815375,-0.0968,0.111925
1756360752678,SITTING,-0.79995006,3.3630002,9.517051,-0.1923625,-0.224675,0.132275
1756360752698,SITTING,-0.64005005,3.3390002,9.63,-0.1986875,-0.221375,0.165275
1756360752718,SITTING,-0.48705003,3.3270001,9.618,-0.1678875,-0.1309,0.2014375
1756360752738,SITTING,-0.19005,3.2580001,9.606001,-0.18493749,-0.1522125,0.2110625
1756360752758,SITTING,-0.075,3.14505,9.618,-0.2008875,-0.1948375,0.2046
1756360752778,SITTING,-0.04095,2.97495,9.736951,-0.2019875,-0.1841125,0.2068
1756360752798,SITTING,-0.075,2.8510501,9.77295,-0.1923625,-0.18727499,0.18975
1756360752818,SITTING,-0.12795001,2.70705,9.724951,-0.17215,-0.1948375,0.1747625
1756360752838,SITTING,-0.075,2.53305,9.694051,-0.17847499,-0.1948375,0.17379999
1756360752857,SITTING,-0.051000003,2.3149502,9.876,-0.1997875,-0.18095,0.1747625
1756360752877,SITTING,0.112950005,2.049,10.1320505,-0.17847499,-0.18205,0.1747625
1756360752897,SITTING,0.40500003,1.8840001,9.91005,-0.079475,-0.132,0.1684375
1756360752917,SITTING,0.74505,1.848,9.426001,0.0111375,-0.0308,0.1450625
1756360752938,SITTING,0.915,1.8049501,9.2029505,0.0037125,0.0097624995,0.097075
1756360752958,SITTING,0.98505,1.8100501,9.214951,-0.061325,-0.0254375,0.028875
1756360752977,SITTING,0.98205006,1.8240001,9.346951,-0.1071125,-0.0595375,-0.0573375
1756360753000,SITTING,1.02495,1.7520001,9.43605,-0.0633875,-0.0254375,-0.1170125
1756360753017,SITTING,0.99705005,1.6200001,8.941951,0.0506,0.054449998,-0.1863125
1756360753037,SITTING,0.192,1.58895,8.677051,0.1016125,0.197175,-0.2938375
1756360753057,SITTING,-0.846,1.20105,9.076051,-0.009075,0.2036375,-0.359975
1756360753077,SITTING,-0.64695,0.76605004,9.615001,0.0089375,0.1269125,-0.2107875
1756360753097,SITTING,1.212,0.75600004,10.474951,0.124025,0.2696375,0.0598125
1756360753117,SITTING,1.9020001,1.2210001,9.618,0.43725,0.080025,-0.1788875
1756360753137,SITTING,0.15900001,1.6870501,8.215051,0.631125,0.0055,-0.6667375
1756360753158,SITTING,-1.176,2.36295,7.5730505,0.6023875,0.0609125,-0.797775
1756360753177,SITTING,-1.0639501,3.1890001,8.236051,0.3818375,0.267575,-0.611325
1756360753196,SITTING,-1.8709501,4.00995,8.92605,0.2572625,0.4763,-0.5709
