timestamp_ms,label,ax,ay,az,gx,gy,gz
1756360320251,STANDING,1.76505,3.315,10.02705,-0.0460625,0.102437496,0.4934875
1756360320270,STANDING,1.1710501,2.7499502,10.221001,0.18053749,0.521125,-0.14685
1756360320283,STANDING,0.855,2.91105,9.799951,0.1560625,0.553025,-0.275825
1756360320303,STANDING,1.0330501,2.8849502,8.634001,0.1186625,0.5391375,-0.3716625
1756360320322,STANDING,-0.039,2.9320502,8.7289505,-0.0517,0.5999125,-0.5677375
1756360320342,STANDING,-1.23105,2.535,10.19505,-0.295625,0.5402375,-0.61875
1756360320362,STANDING,-3.3289502,1.86705,13.750051,-0.4703875,1.0962875,-0.3642375
1756360320382,STANDING,-1.21905,1.58895,11.904,-0.2605625,2.2350626,0.4976125
1756360320402,STANDING,0.92700005,0.53295004,8.887051,0.1634875,1.3222,0.483725
1756360320422,STANDING,0.096,1.7160001,6.9289503,0.2231625,0.1546875,-0.020075
1756360320442,STANDING,-1.1689501,3.31095,7.3650002,-0.10505,-0.6400625,-0.3194125
1756360320462,STANDING,-0.53505003,3.0979502,7.8870006,-0.363825,-1.0971125,-0.1661
1756360320482,STANDING,-0.43905002,3.426,8.30805,-0.4362875,-1.050225,-0.0308
1756360320502,STANDING,-0.73305005,3.28005,9.261001,-0.5556375,-0.8393,0.114125
1756360320522,STANDING,-0.657,2.79795,9.847051,-0.64405,-1.063975,0.38995
1756360320542,STANDING,0.23805001,2.3770502,10.20405,-0.5363875,-0.8680375,0.6818625
1756360320562,STANDING,1.095,1.6110001,9.80895,-0.2893,-0.373725,0.9087375
1756360320581,STANDING,1.28205,1.4260501,9.799951,-0.0858,-0.17985,0.9343125
1756360320601,STANDING,1.69095,1.434,9.490951,-0.0548625,-0.18095,0.839575
1756360320621,STANDING,2.4190502,1.3230001,9.24405,-0.0804375,-0.322575,0.65945
1756360320641,STANDING,2.59095,1.16805,9.069,-0.1571625,-0.3003,0.3515875
1756360320661,STANDING,1.9519501,1.1389501,8.868,-0.3117125,-0.2193125,-0.1596375
1756360320681,STANDING,1.5109501,1.4239501,9.193951,-0.4885375,-0.273625,-0.5922125
1756360320701,STANDING,0.52695,2.05905,10.54905,-0.4895,-0.3216125,-0.92565
1756360320721,STANDING,-0.693,2.904,10.743001,-0.1071125,-0.11385,-1.0107625
1756360320741,STANDING,-0.84795004,3.14295,10.824,0.023924999,0.266475,-0.38665
1756360320761,STANDING,0.034050003,1.8769501,10.233001,0.18259999,0.71073747,0.246125
1756360320780,STANDING,0.62100005,1.9699501,9.21105,0.3584625,0.7000125,0.407
1756360320801,STANDING,0.23295002,2.38905,8.88,0.30827498,0.7074375,0.2259125
1756360320821,STANDING,-0.14895001,2.1730502,9.498,0.1623875,0.789525,0.147125
1756360320841,STANDING,-0.17805001,1.7160001,10.465051,0.106975,0.97377497,0.2099625
1756360320861,STANDING,-0.27600002,1.48905,10.939051,0.1868625,1.0814375,0.2046
