timestamp_ms,label,ax,ay,az,gx,gy,gz
1756359832591,WALKING,0.98505,4.1290503,9.237,-0.0878625,-0.15235,0.533775
1756359832591,WALKING,1.0180501,3.96705,9.342,-0.0878625,-0.15235,0.533775
1756359832604,WALKING,1.14705,3.8370001,9.59595,0.157025,0.1821875,0.5275875
1756359832617,WALKING,1.1880001,3.7849503,9.852,0.138875,0.1907125,0.52854997
1756359832639,WALKING,1.22895,3.9880502,9.8209505,0.16665,0.1799875,0.5116375
1756359832658,WALKING,0.84300005,4.2730503,9.084001,0.223025,0.125675,0.4785
1756359832679,WALKING,0.47205,4.0939503,9.057,0.1601875,0.23333749,0.572275
1756359832698,WALKING,0.56295,3.9090002,9.74205,0.021724999,0.3366,0.706475
1756359832717,WALKING,0.77400005,3.5719502,9.934051,-0.0240625,0.28545,0.8152375
1756359832737,WALKING,0.91005003,3.3270001,9.852,0.004675,0.2567125,0.8619875
1756359832757,WALKING,0.83595,3.2359502,9.97395,0.021724999,0.260975,0.8525
1756359832777,WALKING,0.81495005,3.14805,10.20705,0.0451,0.28545,0.8534625
1756359832798,WALKING,0.90300006,3.0550501,9.852,0.1368125,0.212025,0.8545625
1756359832817,WALKING,0.92700005,3.10695,8.928,0.2528625,0.109725,0.8289875
1756359832836,WALKING,0.75705004,3.2290502,8.667001,0.27101249,0.2003375,0.825825
1756359832856,WALKING,0.45600003,3.2290502,9.342,0.19635,0.4048,0.8534625
1756359832877,WALKING,0.312,3.0880501,9.8230505,0.16555,0.5262125,0.9301875
1756359832896,WALKING,0.46005002,2.8650002,9.706051,0.1527625,0.4846875,1.0250624
1756359832916,WALKING,0.76005006,2.7460501,9.273001,0.109037496,0.3408625,1.0676875
1756359832936,WALKING,1.095,2.8290002,8.96895,0.06545,0.242825,1.07195
1756359832956,WALKING,1.296,3.00195,8.96205,0.038775,0.2407625,1.0388125
1756359832976,WALKING,1.4299501,3.1549501,8.79195,0.0834625,0.2641375,0.9813375
1756359832995,WALKING,1.4059501,3.315,8.586,0.14533749,0.313225,0.909975
1756359833015,WALKING,1.33905,3.4999502,8.490001,0.17407499,0.3355,0.840675
1756359833035,WALKING,1.2,3.69405,8.466001,0.188925,0.3664375,0.7885625
1756359833055,WALKING,1.047,3.8610003,8.559,0.1931875,0.4059,0.7502
1756359833075,WALKING,0.90300006,3.9619503,8.65305,0.187825,0.4175875,0.73425
1756359833095,WALKING,0.85800004,4.06995,8.502001,0.1857625,0.3845875,0.73425
1756359833115,WALKING,0.88695,4.2130504,8.358001,0.155925,0.346225,0.7374125
1756359833135,WALKING,1.0330501,4.2900004,8.368051,0.105875,0.3388,0.7555625
1756359833155,WALKING,1.2100501,4.2780004,8.77005,0.0526625,0.395175,0.7704125
1756359833175,WALKING,1.3050001,4.32795,9.250951,0.037675,0.4698375,0.7437375
1756359833195,WALKING,1.2360001,4.431,9.460051,0.0749375,0.4772625,0.6809
1756359833214,WALKING,1.023,4.5700502,9.330001,0.13145,0.4357375,0.6128375
1756359833234,WALKING,0.91305006,4.671,9.27795,0.1463,0.412225,0.5946875
1756359833254,WALKING,0.89400005,4.5870004,9.61995,0.1197625,0.4505875,0.623425
1756359833274,WALKING,0.91305006,4.302,9.852,0.1122,0.480425,0.6628875
1756359833294,WALKING,1.10895,3.9880502,9.98595,0.09845,0.481525,0.692725
1756359833314,WALKING,1.6170001,3.8539503,10.1970005,0.0686125,0.4367,0.6777375
1756359833334,WALKING,1.8180001,3.9829502,9.77805,0.088825,0.3366,0.5861625
1756359833354,WALKING,1.38705,3.969,9.61305,0.0994125,0.4272125,0.472175
1756359833374,WALKING,1.0710001,4.0290003,10.09395,-0.039049998,0.506,0.4444
1756359833394,WALKING,1.2240001,3.8760002,10.56795,-0.1604625,0.4835875,0.4912875
1756359833414,WALKING,1.5640501,3.3319502,10.747951,-0.181775,0.42295,0.557425
1756359833434,WALKING,1.7820001,2.9299502,10.85805,-0.0996875,0.4016375,0.523325
1756359833454,WALKING,1.7170501,2.868,10.42905,0.1079375,0.328075,0.3752375
1756359833474,WALKING,1.5330001,3.1909502,9.11205,0.3839,0.21725,0.2112
1756359833494,WALKING,1.12395,3.5359502,8.04705,0.5511,0.2481875,0.134475
1756359833514,WALKING,0.71205,3.8110502,7.63005,0.5479375,0.38775,0.1706375
1756359833533,WALKING,0.51795,3.7150502,8.274,0.3722125,0.5421625,0.3229875
1756359833553,WALKING,0.48195,3.4140003,9.048,0.18259999,0.5412,0.471075
1756359833573,WALKING,0.42405003,3.2650502,9.366,0.1005125,0.4580125,0.56595
1756359833593,WALKING,0.36195,3.21495,9.120001,0.09515,0.3174875,0.621225
1756359833613,WALKING,0.60405004,3.25305,9.049951,0.0611875,0.227975,0.6873625
1756359833633,WALKING,0.74505,3.35595,9.220051,0.0441375,0.1725625,0.6969875
1756359833653,WALKING,0.86700004,3.4710002,8.811001,0.14533749,0.1117875,0.6884625
