timestamp_ms,label,ax,ay,az,gx,gy,gz
1756359243041,RUNNING,-0.35505003,2.35095,10.434001,0.0,0.0,0.0
1756359243043,RUNNING,-0.36900002,2.5210502,9.8550005,0.0,0.0,0.0
1756359243044,RUNNING,0.45105,1.8070501,6.5839505,-0.046475,0.7458,-0.3650625
1756359243063,RUNNING,-0.28800002,1.3570501,6.34005,-1.2682999,0.5380375,-0.6494125
1756359243072,RUNNING,-2.8639503,1.4260501,8.19495,-2.5977874,0.15345,-1.026575
1756359243093,RUNNING,-3.2980502,0.71805006,14.278951,-3.19,0.347325,-0.7198125
1756359243112,RUNNING,-2.0020502,-0.14595,14.18805,-2.53165,-0.240625,-0.0699875
1756359243134,RUNNING,-1.14495,-0.91905004,12.97395,-1.329075,-0.41635,0.1612875
1756359243152,RUNNING,-2.1990001,-0.81795,12.792001,-0.24145,0.044825,-0.214775
1756359243173,RUNNING,-2.6890502,0.61695004,11.314951,0.5245625,0.1375,-0.569525
1756359243192,RUNNING,-2.2680001,1.434,10.651951,0.7759125,0.3430625,-0.1956625
1756359243212,RUNNING,-1.3300501,1.16805,11.598001,0.8611625,0.86515,0.2176625
1756359243232,RUNNING,-0.73800004,0.52905005,14.236051,1.2062875,1.6182375,0.4222625
1756359243252,RUNNING,-2.3809502,0.67200005,14.62905,1.92005,1.8558375,0.3444375
1756359243272,RUNNING,-2.457,1.1850001,13.804951,2.15655,1.2060125,0.359425
1756359243292,RUNNING,-2.292,1.50495,12.045001,1.9647375,0.5220875,0.409475
1756359243311,RUNNING,-0.11595,2.0299501,10.503,1.5311999,0.3867875,0.5479375
1756359243331,RUNNING,1.8390001,1.968,9.76395,1.1743875,0.75322497,0.55962497
1756359243351,RUNNING,1.2379501,1.4650501,10.71405,0.8611625,1.1005499,0.188925
1756359243372,RUNNING,2.7250502,1.572,11.66895,1.0135125,1.3072125,0.06325
1756359243391,RUNNING,3.62505,2.05605,9.382951,1.5184125,1.1867625,-0.2937
1756359243412,RUNNING,2.1049502,3.5689502,5.0470505,1.638725,0.3388,-0.95411247
1756359243432,RUNNING,0.50805,4.7860503,3.2080503,1.0252,-0.14905,-1.1224124
1756359243451,RUNNING,0.96300006,3.8689501,6.3160505,0.426525,-0.2641375,-0.787875
1756359243471,RUNNING,3.8820002,1.8790501,11.221951,0.258225,-0.3333,-0.3372875
1756359243491,RUNNING,5.5189505,-0.83295006,13.896001,0.6406125,-1.2761375,-0.8294
1756359243512,RUNNING,3.9970503,-1.029,13.125001,1.4311,-2.469225,-1.835075
1756359243531,RUNNING,-0.120000005,1.1149501,13.18305,2.1404624,-2.3722875,-2.561625
1756359243551,RUNNING,-3.00495,2.1090002,14.772,2.6827624,-1.06095,-2.2111375
1756359243571,RUNNING,-2.02095,1.5990001,14.803051,2.924625,-0.2215125,-1.2716
1756359243591,RUNNING,-1.18095,-0.39000002,13.434001,2.4963124,-0.35035,-0.74525
1756359243611,RUNNING,-1.15005,-0.651,12.541051,1.727275,-0.8756,-1.0223125
1756359243630,RUNNING,-1.1910001,-0.56505,11.775001,1.5621375,-0.5506875,-1.3396626
1756359243652,RUNNING,-2.97,-0.90195006,9.517051,2.0520499,0.3048375,-1.55705
1756359243672,RUNNING,-4.971,-1.01205,7.4440503,2.5443,1.2475375,-1.5038375
