timestamp_ms,label,ax,ay,az,gx,gy,gz
1756361300530,LAYING,1.2529501,9.0709505,-3.5020502,0.0185625,0.0160875,-0.0020625
1756361300548,LAYING,1.1689501,9.186001,-3.6139503,0.1249875,-0.04675,-0.07205
1756361300567,LAYING,1.26705,9.174001,-3.6379502,0.154825,0.0331375,-0.0314875
1756361300586,LAYING,1.4130001,9.01605,-3.6360002,0.137775,0.0342375,0.0132
1756361300606,LAYING,1.5259501,8.904,-3.49005,0.1142625,0.0246125,0.0163625
1756361300626,LAYING,1.5450001,8.868,-3.5299501,0.1313125,0.0576125,0.006875
1756361300646,LAYING,1.6170001,8.80095,-3.66405,0.136675,0.05555,-0.00495
1756361300666,LAYING,1.6000501,8.832001,-3.7390501,0.084425,0.014025,-0.0240625
1756361300685,LAYING,1.3249501,9.05895,-3.8940003,0.02805,-0.022275,-0.022
1756361300708,LAYING,1.4250001,9.042001,-3.9640503,-0.0347875,-0.0595375,0.0419375
1756361300726,LAYING,1.5109501,8.956051,-3.7720501,-0.099825,-0.088275,0.0845625
1756361300746,LAYING,1.5810001,8.81505,-3.45405,-0.1211375,-0.0999625,0.1016125
1756361300766,LAYING,1.8010501,8.65695,-3.56205,-0.0721875,-0.090475,0.1016125
1756361300785,LAYING,1.7050501,8.755051,-3.6330001,-0.0347875,-0.0488125,0.0504625
1756361300804,LAYING,1.48695,8.913,-3.6550503,0.0045375,0.02145,0.021724999
1756361300825,LAYING,1.48695,8.923051,-3.7669501,0.033275,0.0512875,0.0334125
1756361300845,LAYING,1.4970001,8.932051,-3.7789502,0.0056375,0.028875,0.038775
1756361300865,LAYING,1.4440501,8.96595,-3.7410002,-0.031625,-0.0094875,0.032449998
1756361300885,LAYING,1.389,8.99205,-3.7339501,-0.049775,-0.0350625,0.03025
1756361300905,LAYING,1.3990501,8.99205,-3.6979501,-0.0551375,-0.0308,0.037675
1756361300925,LAYING,1.3630501,9.0400505,-3.6690001,-0.049775,-0.0094875,0.040975
1756361300945,LAYING,1.2600001,9.106951,-3.6330001,-0.0347875,0.0331375,0.038775
1756361300965,LAYING,1.248,9.121051,-3.6049502,-0.014575,0.073699996,0.053625
1756361300985,LAYING,1.27695,9.05895,-3.5809503,-0.00715,0.095975,0.0664125
1756361301004,LAYING,1.35105,9.030001,-3.5380502,-0.022,0.0831875,0.070675
1756361301025,LAYING,1.3990501,9.009001,-3.5020502,-0.015675,0.0950125,0.0697125
1756361301045,LAYING,1.5139501,8.96595,-3.4800003,0.011,0.1332375,0.073975
1756361301064,LAYING,1.4749501,9.02805,-3.5299501,0.02475,0.1332375,0.0611875
1756361301084,LAYING,1.58595,8.95905,-3.6090002,0.0119624995,0.098175,0.0771375
1756361301104,LAYING,1.6309501,8.923051,-3.55395,-0.0231,0.0523875,0.0771375
1756361301125,LAYING,1.6360501,8.974951,-3.5089502,-0.0466125,0.0235125,0.071775
1756361301144,LAYING,1.77495,8.941951,-3.4800003,-0.0518375,0.014025,0.089925
1756361301164,LAYING,1.8390001,8.908051,-3.4150503,-0.0625625,-0.0020625,0.091025
1756361301184,LAYING,1.8229501,8.916,-3.3820503,-0.066825,-0.021175,0.0792
1756361301204,LAYING,1.9519501,8.85795,-3.4150503,-0.0540375,-0.01045,0.087725
1756361301224,LAYING,2.0380502,8.82705,-3.3240001,-0.048675,0.0086624995,0.082499996
1756361301244,LAYING,1.9969501,8.87205,-3.3030002,-0.0358875,0.011825,0.0611875
1756361301264,LAYING,1.9060501,8.89605,-3.3940501,-0.015675,0.0235125,0.0473
1756361301287,LAYING,1.9450501,8.88,-3.4420502,-0.016775,0.0268125,0.0578875
1756361301304,LAYING,1.42305,9.27,-3.4110003,-0.030524999,0.029975,0.06435
1756361301324,LAYING,1.7580001,8.986951,-3.348,-0.0859375,-0.0424875,0.1293875
1756361301344,LAYING,1.64295,9.01605,-3.1570501,-0.083875,-0.038225,0.1016125
1756361301365,LAYING,1.9090501,8.905951,-3.01095,-0.1189375,-0.140525,0.111237496
1756361301385,LAYING,2.08605,8.779051,-2.8909502,-0.1115125,-0.1926375,0.0919875
1756361301404,LAYING,2.196,8.772,-3.0280502,-0.0347875,-0.19167499,0.06435
1756361301423,LAYING,2.2009501,8.736,-3.1740003,0.034375,-0.171325,0.03025
1756361301444,LAYING,2.1790502,8.71695,-3.147,0.0801625,-0.1500125,0.005775
1756361301463,LAYING,2.1649501,8.643001,-3.2620502,0.1324125,-0.1533125,-0.0209
1756361301483,LAYING,2.1100502,8.70705,-3.55395,0.1793,-0.1703625,-0.0592625
1756361301503,LAYING,1.9380001,8.809951,-3.8130002,0.20487499,-0.14905,-0.112475
1756361301523,LAYING,1.7560501,8.877001,-3.8490002,0.1728375,-0.14685,-0.1326875
1756361301543,LAYING,1.5640501,8.905951,-3.93705,0.1302125,-0.1500125,-0.129525
1756361301567,LAYING,1.6170001,8.887051,-3.9900002,0.108899996,-0.1084875,-0.097625
1756361301582,LAYING,1.7389501,8.805,-4.00005,0.09515,-0.0308,-0.07205
1756361301603,LAYING,1.8370501,8.83395,-3.7549503,0.0653125,0.0171875,-0.06875
1756361301623,LAYING,1.7530501,8.89395,-3.6430502,0.0631125,0.0427625,-0.088
1756361301643,LAYING,1.7839501,8.7960005,-3.66,0.0823625,0.0374,-0.080575
1756361301663,LAYING,1.641,8.85795,-3.70005,0.0664125,-0.04455,-0.10505
1756361301683,LAYING,1.6789501,8.755051,-3.6720002,0.0408375,-0.091437496,-0.1007875
1756361301703,LAYING,1.60695,8.757,-3.7459502,0.053625,-0.106425,-0.114675
1756361301723,LAYING,1.5880501,8.84595,-3.86595,0.085525,-0.0765875,-0.1199
1756361301742,LAYING,1.4680501,8.875051,-3.9400501,0.103675,-0.0169125,-0.1252625
1756361301762,LAYING,1.30305,8.985001,-3.89895,0.101475,0.0171875,-0.131725
1756361301782,LAYING,1.2100501,9.009001,-3.9400501,0.103675,0.0576125,-0.113575
1756361301803,LAYING,1.2,8.997001,-3.9570003,0.0631125,0.0268125,-0.086899996
1756361301822,LAYING,1.19505,9.01395,-3.8850002,-0.0050875,-0.0328625,-0.07095
1756361301842,LAYING,1.19505,9.01395,-3.8110502,-0.039049998,-0.0510125,-0.0485375
1756361301862,LAYING,1.2049501,9.0379505,-3.7530003,-0.0262625,-0.0254375,-0.0177375
1756361301882,LAYING,1.1400001,9.069,-3.7170002,-0.016775,-0.01265,0.0026125
1756361301902,LAYING,1.21905,9.066,-3.6690001,-0.0540375,-0.0627,0.0196625
1756361301921,LAYING,1.6840501,8.734051,-3.6480002,-0.0551375,-0.0616,0.0345125
1756361301942,LAYING,0.90105003,9.259951,-3.4440002,0.0323125,0.0683375,-0.00385
1756361301961,LAYING,1.4899501,8.916,-3.9589503,0.0886875,0.056649998,0.06545
1756361301981,LAYING,1.54305,8.676001,-3.7669501,0.036575,0.0598125,0.0430375
1756361302001,LAYING,1.43505,8.80095,-3.6000001,0.044,0.0746625,0.004675
1756361302021,LAYING,1.50405,8.734051,-3.8419502,0.0812625,0.0416625,0.004675
1756361302041,LAYING,1.42305,8.793,-3.897,0.0653125,1.375E-4,-0.0251625
1756361302061,LAYING,1.416,8.808001,-3.8370001,0.0471625,-0.0297,-0.0336875
1756361302080,LAYING,1.4080501,8.767051,-3.8460002,0.051425,-0.045649998,-0.03795
1756361302101,LAYING,1.36995,8.781,-3.8820002,0.0290125,-0.0979,-0.0528
1756361302121,LAYING,1.404,8.950951,-3.7459502,-0.033825,-0.189475,-0.0644875
1756361302141,LAYING,1.3050001,9.02295,-3.7459502,-0.04015,-0.198,-0.0655875
1756361302160,LAYING,1.07595,9.04695,-3.76305,0.015262499,-0.1106875,-0.0314875
1756361302181,LAYING,0.47205,9.22395,-3.7080002,-0.0028875,-0.1628,-0.013475
1756361302202,LAYING,1.1689501,9.250951,-3.6859503,-0.0636625,-0.2619375,0.0664125
1756361302221,LAYING,1.7050501,8.712001,-3.8779502,-0.031625,-0.18205,0.138875
1756361302241,LAYING,1.8730501,8.54205,-3.9469502,0.0545875,-0.038225,0.1016125
1756361302262,LAYING,1.54305,8.580001,-4.1119504,0.134475,0.111925,0.0270875
1756361302281,LAYING,1.38195,8.614051,-4.2060003,0.1420375,0.1524875,-0.0059125
1756361302301,LAYING,1.3990501,8.68305,-4.1860504,0.06215,0.05555,-0.011275
1756361302321,LAYING,1.3560001,8.820001,-4.08795,-0.0253,-0.055275,-0.0240625
1756361302341,LAYING,1.3560001,8.88195,-3.969,-0.0699875,-0.1084875,-0.013475
1756361302362,LAYING,1.32,8.901,-3.93495,-0.0594,-0.095699996,0.0015125
1756361302380,LAYING,1.2889501,8.917951,-3.969,-0.0466125,-0.071225,0.0154
1756361302400,LAYING,1.353,8.82195,-3.9060001,-0.0540375,-0.0510125,0.0334125
1756361302421,LAYING,1.4989501,8.7310505,-3.8460002,-0.0785125,-0.071225,0.037675
1756361302440,LAYING,1.52295,8.740951,-3.6910503,-0.1126125,-0.1106875,0.0143
1756361302461,LAYING,1.5259501,8.80095,-3.6090002,-0.11055,-0.1287,-0.0144375
1756361302480,LAYING,1.45905,8.865001,-3.6139503,-0.0721875,-0.1266375,-0.0422125
1756361302500,LAYING,1.27005,8.96595,-3.7459502,-0.039049998,-0.1287,-0.061325
